Country,Both sexes,"Male rank",Male,"Female rank",Female
Guyana,44.2,1,70.8,1,22.1
South Korea,28.9,5,41.7,5,18
Sri Lanka,28.8,3,46.4,7,12.8
Lithuania,28.2,2,51,29,8.4
Suriname,27.8,4,44.5,11,11.9
Mozambique,27.4,8,34.2,2,21.1
Tanzania,24.9,13,31.6,4,18.3
Nepal,24.9,17,30.1,3,20
Kazakhstan,23.8,6,40.6,21,9.3
Burundi,23.1,9,34.1,9,12.5
India,21.1,22,25.8,6,16.4
South Sudan,19.8,19,27.1,7,12.8
Turkmenistan,19.6,11,32.5,32,7.5
Russia,19.5,7,35.1,46,6.2
Uganda,19.5,20,26.9,10,12.3
Hungary,19.1,12,32.4,34,7.4
Japan,18.5,20,26.9,17,10.1
Belarus,18.3,10,32.7,44,6.4
Zimbabwe,18.1,18,27.2,18,9.7
Bhutan,17.8,32,23.1,13,11.2
Sudan,17.2,33,23,12,11.5
Comoros,16.9,29,24,15,10.3
Ukraine,16.8,16,30.3,55,5.3
Poland,16.6,15,30.5,98,3.8
Equatorial Guinea,16.6,27,24.1,27,8.6
Eritrea,16.3,22,25.8,24,8.7
Latvia,16.2,14,30.7,86,4.3
Kenya,16.2,26,24.4,29,8.4
Malawi,16,30,23.9,23,8.9
Zambia,15.7,39,20.8,14,10.8
Montenegro,15.3,25,24.7,44,6.4
Djibouti,15.1,38,20.9,20,9.5
Finland,14.8,34,22.2,32,7.5
Belgium,14.2,36,21,31,7.7
Iceland,14,36,21,40,6.7
Angola,13.8,41,20.7,35,7.3
Moldova,13.7,27,24.1,73,4.8
Estonia,13.6,24,24.9,98,3.8
El Salvador,13.6,31,23.5,53,5.7
Myanmar,13.1,60,16.5,15,10.3
Trinidad and Tobago,13,42,20.4,46,6.2
Czech Republic,12.5,35,21.5,97,3.9
Slovenia,12.4,39,20.8,84,4.4
Serbia,12.4,44,19.9,50,5.8
Somalia,12.4,54,18.1,39,6.8
Papua New Guinea,12.4,66,15.9,22,9.1
France,12.3,47,19.3,49,6
Chile,12.2,49,19,50,5.8
Bolivia,12.2,63,16.2,28,8.5
Uruguay,12.1,43,20,61,5.2
United States,12.1,46,19.4,61,5.2
Rwanda,11.9,57,17.1,36,7.2
Croatia,11.6,45,19.8,78,4.5
Austria,11.5,53,18.2,54,5.4
Ethiopia,11.5,60,16.5,40,6.7
Thailand,11.4,48,19.1,78,4.5
Cuba,11.4,50,18.5,78,4.5
Sweden,11.1,63,16.2,48,6.1
Ireland,11,58,16.9,61,5.2
Madagascar,11,69,15.2,38,6.9
Bosnia and Herzegovina,10.8,55,18,89,4.1
Bulgaria,10.8,59,16.6,55,5.3
Australia,10.6,65,16.1,61,5.2
Solomon Islands,10.6,76,13.9,36,7.2
Romania,10.5,52,18.4,109,2.9
Argentina,10.3,56,17.2,89,4.1
Slovakia,10.1,50,18.5,121,2.5
Democratic Republic of the Congo,10.1,67,15.8,73,4.8
Nicaragua,10,68,15.4,70,4.9
Mongolia,9.8,62,16.3,100,3.7
Canada,9.8,70,14.9,73,4.8
Congo,9.6,71,14.7,77,4.6
