Attendee Status,Order Date,Check-In Date,Would you like a T-Shirt?,What size?,Job Title,Participant Type,Call Type,Country,City
Checked In,2017-06-16 14:31:21.996,"October 19, 2017 10:35 AM",Yes,Unisex Medium,J.Data Scientist,Individual,Early Bird,Poland,Warsaw
Attending,2017-06-16 15:39:10.002,,Yes,Unisex Medium,Manager,Individual,Early Bird,Poland,Wielkie Drogi
Checked In,2017-06-19 09:45:10.999,"October 19, 2017 11:54 AM",Yes,Unisex Large,Data Scientist,Individual,Early Bird,Poland,Warsaw
Checked In,2017-06-20 17:00:41.996,"October 19, 2017 10:01 AM",Yes,Unisex Small,None,Individual,Early Bird,Poland,Warsaw
Attending,2017-06-20 23:09:45.003,,Yes,Unisex XL,solution architect,Individual,Early Bird,Poland,Warsaw
Checked In,2017-06-22 09:15:20.998,"October 19, 2017 10:53 AM",Yes,Unisex Large,Software Developer,Individual,Early Bird,Germany,Juelich
Checked In,2017-06-24 15:27:52.998,"October 19, 2017 11:57 AM",Yes,Unisex Medium,R&D Engineer,Individual,Early Bird,Poland,Krakow
Attending,2017-06-30 11:41:54.004,,Yes,Unisex Medium,Student,Individual,Early Bird,Poland,Warsaw
Attending,2017-07-04 15:34:40.002,,No,,Data Scientist,Individual,Early Bird,Poland,Krakow
Checked In,2017-07-07 18:07:14.998,"October 19, 2017 10:00 AM",Yes,Unisex Small,Assistant Professor,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-07 21:35:31.004,"October 20, 2017 9:19 AM",Yes,Unisex Medium,Software developer,Individual,Early Bird,Poland,Gliwice
Checked In,2017-07-09 20:59:50.004,"October 19, 2017 9:58 AM",Yes,Unisex Large,Programmer,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-10 07:37:33.004,"October 19, 2017 11:43 AM",Yes,Unisex Large,Software developer,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-10 12:41:52.002,"October 19, 2017 11:41 AM",Yes,Unisex Large,Credit Risk Modeler,Individual,Early Bird,Poland,
Checked In,2017-07-10 19:07:12.003,"October 19, 2017 2:50 PM",Yes,Unisex Large,Java Developer,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-12 14:00:45.003,"October 19, 2017 9:52 AM",Yes,Unisex Large,research assistant,Corporate,Early Bird,Poland,Warsaw
Checked In,2017-07-12 21:39:41.003,"October 19, 2017 10:10 AM",Yes,Unisex Medium,Senior Banking Analyst,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-13 08:12:50.003,"October 19, 2017 11:38 AM",Yes,Unisex Large,Python developer,Individual,Early Bird,Poland,Chojnów
Checked In,2017-07-13 11:58:33.997,"October 19, 2017 9:41 AM",Yes,Unisex Medium,Kierownik Węża,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-13 12:00:58.000,"October 19, 2017 9:20 AM",Yes,Unisex Medium,PHP Developer,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-13 12:55:15.004,"October 18, 2017 9:43 AM",No,,Trainee Quant Trader,Corporate,Early Bird,United Kingdom,London
Checked In,2017-07-13 12:55:15.004,"October 18, 2017 9:44 AM",No,,Trainee Quant Trader,Corporate,Early Bird,United Kingdom,London
Checked In,2017-07-13 13:12:24.002,"October 19, 2017 10:07 AM",Yes,Unisex XL,Founder,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-13 14:06:39.001,"October 19, 2017 11:47 AM",Yes,Unisex Small,Data Scientist,Corporate,Early Bird,Poland,Krakow
Checked In,2017-07-13 14:06:39.001,"October 19, 2017 11:47 AM",Yes,Unisex Large,Data Scientist,Corporate,Early Bird,Poland,Krakow
Checked In,2017-07-13 14:06:39.001,"October 19, 2017 11:52 AM",Yes,Unisex Large,Head of User Intelligence,Corporate,Early Bird,Poland,Krakow
Attending,2017-07-13 17:17:28.997,,Yes,Unisex Large,Software Developer,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-13 21:00:44.997,"October 19, 2017 9:49 AM",Yes,Unisex Large,Senior Python Developer,Individual,Early Bird,Poland,Warsaw
Attending,2017-07-14 09:23:21.002,,Yes,Unisex Large,Programmer,Individual,Early Bird,Poland,Rybnik
Checked In,2017-07-14 10:06:36.000,"October 19, 2017 12:32 PM",Yes,Unisex XL,Data Scientist,Individual,Early Bird,Romania,Sibiu
Checked In,2017-07-14 10:12:17.004,"October 19, 2017 12:32 PM",Yes,Unisex XL,SOFTWARE DEVELOPER,Individual,Early Bird,Romania,Sibiu
Checked In,2017-07-14 12:38:15.000,"October 19, 2017 9:51 AM",Yes,Unisex XL,Data scientist,Corporate,Early Bird,Poland,Krakow
Checked In,2017-07-14 13:19:03.999,"October 19, 2017 9:34 AM",Yes,Unisex Medium,Specjalista,Corporate,Early Bird,Poland,Warsaw
Checked In,2017-07-14 20:50:22.001,"October 19, 2017 11:04 AM",Yes,Unisex Large,Phd Student,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-14 23:13:18.998,"October 19, 2017 11:13 AM",Yes,Unisex Large,Data Scientist,Individual,Early Bird,Poland,Warsaw
Checked In,2017-07-15 02:43:57.003,"October 19, 2017 9:45 AM",Yes,Unisex XL,Senior software developer,Corporate,Early Bird,Poland,Ustka
Checked In,2017-07-15 23:31:05.002,"October 19, 2017 12:00 PM",Yes,Unisex Small,Software Engineer,Individual,Early Bird,Poland,Puławy
Checked In,2017-07-17 06:51:35.004,"October 19, 2017 9:40 AM",Yes,Unisex Large,CTO,Individual,Regular,Poland,Warsaw
Checked In,2017-07-18 21:50:20.000,"October 19, 2017 10:11 AM",Yes,Unisex X-Small,Future Data Analyst,Individual,Regular,Poland,Krakow
Checked In,2017-07-18 21:50:20.000,"October 19, 2017 10:11 AM",Yes,Unisex Medium,Product Team Leader,Individual,Regular,Poland,Krakow
Checked In,2017-07-19 10:39:20.002,"October 19, 2017 9:54 AM",Yes,Unisex Large,DataScience,Individual,Regular,Spain,Madrid
Checked In,2017-07-19 10:39:20.002,"October 19, 2017 9:53 AM",Yes,Unisex Small,Data Science,Individual,Regular,Spain,Madrid
