Attendee Status,Order Date,Check-In Date,Would you like a T-Shirt?,What size?,Gender,GenderP,Participant Type,Call Type,Country,City
Checked In,2018-08-08 11:22:33+02:00,"November 19, 2018 10:15 AM",Yes,Unisex XL,male,1.0,Individual,Early Bird,United States,New York
Checked In,2018-08-08 22:52:01+02:00,"November 19, 2018 9:57 AM",Yes,Unisex Medium,male,1.0,Individual,Early Bird,Poland,Warsaw
Checked In,2018-08-09 13:03:00+02:00,"November 19, 2018 9:22 AM",Yes,Unisex Medium,female,1.0,Corporate,Early Bird,Unknown Location,
Checked In,2018-08-09 13:03:00+02:00,"November 19, 2018 12:08 PM",Yes,Unisex Small,female,1.0,Corporate,Early Bird,Unknown Location,
Checked In,2018-08-09 13:03:00+02:00,"November 19, 2018 11:32 AM",Yes,Unisex Large,male,1.0,Corporate,Early Bird,Unknown Location,
Checked In,2018-08-09 13:03:00+02:00,"November 19, 2018 9:20 AM",Yes,Unisex Small,female,1.0,Corporate,Early Bird,Unknown Location,
Checked In,2018-08-09 13:03:00+02:00,"November 19, 2018 10:32 AM",Yes,Unisex Medium,male,1.0,Corporate,Early Bird,Unknown Location,
Checked In,2018-08-09 21:57:23+02:00,"November 19, 2018 12:14 PM",Yes,Unisex XL,male,1.0,Individual,Early Bird,Poland,Dobron
Checked In,2018-08-10 13:01:13+02:00,"November 19, 2018 9:49 AM",Yes,Unisex X-Small,female,1.0,Individual,Early Bird,Latvia,Riga
Checked In,2018-08-10 13:01:13+02:00,"November 19, 2018 9:49 AM",Yes,Unisex XL,male,1.0,Individual,Early Bird,Latvia,Riga
Checked In,2018-08-13 09:08:50+02:00,"November 19, 2018 8:59 AM",Yes,Unisex XL,male,0.97,Corporate,Early Bird,Poland,Wrocław
Checked In,2018-08-13 09:08:50+02:00,"November 19, 2018 8:59 AM",Yes,Unisex XL,male,1.0,Corporate,Early Bird,Poland,Wrocław
Checked In,2018-08-13 11:24:00+02:00,"November 19, 2018 8:16 AM",Yes,Unisex XL,male,1.0,Corporate,Early Bird,Germany,Frankfurt am Main
Checked In,2018-08-13 11:24:00+02:00,"November 19, 2018 9:35 AM",Yes,Unisex Small,male,1.0,Corporate,Early Bird,Germany,Frankfurt am Main
Attending,2018-08-13 12:38:45+02:00,,Yes,Unisex Large,male,0.99,Corporate,Early Bird,Poland,Łódź
Checked In,2018-08-13 13:59:45+02:00,"November 19, 2018 8:26 AM",Yes,Unisex Large,male,1.0,Corporate,Early Bird,France,Paris
Checked In,2018-08-14 14:16:53+02:00,"November 19, 2018 9:37 AM",Yes,Unisex XXL,male,1.0,Individual,Early Bird,Denmark,Aalborg
Checked In,2018-08-14 16:33:56+02:00,"November 19, 2018 10:15 AM",Yes,Unisex XXL,male,1.0,Corporate,Early Bird,France,Paris
Checked In,2018-08-14 17:27:05+02:00,"November 19, 2018 9:09 AM",Yes,Unisex Medium,male,0.98,Individual,Early Bird,Poland,Warsaw
Checked In,2018-08-15 09:33:34+02:00,"November 19, 2018 12:33 PM",Yes,Unisex Medium,male,1.0,Individual,Early Bird,Serbia,Belgrade
Checked In,2018-08-18 11:54:10+02:00,"November 19, 2018 9:36 AM",Yes,Unisex Medium,female,1.0,Individual,Early Bird,Poland,Warsaw
Checked In,2018-08-19 19:17:25+02:00,"November 19, 2018 8:55 AM",Yes,Unisex Large,male,1.0,Individual,Early Bird,Poland,Warsaw
Checked In,2018-08-20 09:50:23+02:00,"November 19, 2018 9:26 AM",Yes,Unisex Medium,male,1.0,Corporate,Early Bird,Poland,Warsaw
Checked In,2018-08-20 09:50:23+02:00,"November 19, 2018 9:27 AM",Yes | No,Unisex Large,male,0.98,Corporate,Early Bird,Poland,Warsaw
Checked In,2018-08-20 09:50:23+02:00,"November 19, 2018 9:57 AM",Yes,Unisex Large,male,0.99,Corporate,Early Bird,Poland,Warsaw
Attending,2018-08-20 09:50:23+02:00,,Yes,Unisex Medium,male,1.0,Corporate,Early Bird,Poland,Warsaw
Checked In,2018-08-20 09:50:23+02:00,"November 19, 2018 9:21 AM",Yes,Unisex Small,female,1.0,Corporate,Early Bird,Poland,Warsaw
Checked In,2018-08-20 09:50:23+02:00,"November 19, 2018 9:37 AM",Yes,Unisex Small,female,1.0,Corporate,Early Bird,Poland,Warsaw
Checked In,2018-08-20 13:40:13+02:00,"November 19, 2018 10:23 AM",Yes,Unisex Large,male,1.0,Individual,Early Bird,Poland,Czeladz
Checked In,2018-08-20 15:43:10+02:00,"November 19, 2018 9:13 AM",No,,male,1.0,Corporate,Early Bird,Belgium,Diegem
Checked In,2018-08-20 17:08:01+02:00,"November 19, 2018 8:35 AM",Yes,Unisex XL,male,1.0,Individual,Early Bird,Poland,Warsaw
Checked In,2018-08-21 09:46:19+02:00,"November 19, 2018 9:36 AM",Yes,Unisex Medium,male,1.0,Individual,Early Bird,Denmark,Aalborg
Checked In,2018-08-21 10:44:30+02:00,"November 19, 2018 9:08 AM",Yes,Unisex Small,male,1.0,Corporate,Early Bird,Germany,Seevetal
Checked In,2018-08-21 10:59:53+02:00,"November 19, 2018 9:08 AM",Yes,Unisex Large,male,1.0,Corporate,Early Bird,Germany,Kiel
Checked In,2018-08-21 15:21:23+02:00,"November 19, 2018 9:57 AM",Yes,Unisex Medium,male,1.0,Individual,Early Bird,Poland,Warsaw
Checked In,2018-08-22 14:46:03+02:00,"November 19, 2018 9:42 AM",No,,female,0.99,Corporate,Early Bird,Poland,Warsaw
